หมวด,รายการวัสดุ / ค่าแรง,ปริมาณ,หน่วย,ค่าวัสดุ/หน่วย,ค่าแรง/หน่วย,สูตร,,
12,"แทงค์น้ำ 1,000 ลิตร + ปั๊มน้ำ 200W ",,เหมา,"9,000.00","3,500.00",,,
12,"แทงค์น้ำ 1,000 ลิตร + ปั๊มน้ำ 250W",,เหมา,"10,000.00","3,500.00",,,
12,"แทงค์น้ำ 2,000 ลิตร + ปั๊มน้ำ 400W",,เหมา,"14,000.00","5,500.00",,,
12,อุปกรณ์ต่อท่ออื่นๆ (ข้อต่อ/กาว/น้ำยา),,เหมา,0.00,"3,000.00",,,
12,บ่อพักสำเร็จรูป (คอนกรีต)+วางท่อระบายน้ำรอบบ้าน (รวมขุด/ฝัง),,เมตร,"1,450.00",450.00,,,
13,งานระบบกำจัดปลวก (อัดน้ำยาลงท่อ/ฉีดพ่น),,ตร.ม,145.00,35.00,,,
13,งานตกแต่งบล็อกช่องลม (รวมก่อ/ฉาบ/ทาสี),,เมตร,950.00,550.00,,,
13,ต่อเติมโรงรถ/หลังคาระเบียง (โครงเหล็ก+เมทัลชีท),,ตร.ม,"2,500.00","1,000.00",,,
13,ตกแต่งหินหน้าเสาโชว์ (หินทราย/หินเทียม),,ต้น,"3,500.00","1,500.00",,,
13,งานราวเหล็ก (Steel) แบบมาตรฐาน (ราวเหล็กทั่วไป),,เมตร,"1,800.00",750.00,,,
13,งานราวสแตนเลส (Stainless Steel) แบบท่อกลม/เหลี่ยมมาตรฐาน,,เมตร,"3,500.00","1,500.00",,,
13,งานเคาน์เตอร์ครัว (ก่อปูน/กรุกระเบื้อง/ใส่บานซิงค์),,เมตร,"3,500.00","1,500.00",,,

14,--- หมวดเพิ่มเติม (หมวด 14 งานระบบอื่นๆ) ---,,,,,,,
14,เครื่องปรับอากาศ (แอร์ 12000 BTU),,เครื่อง,12500.00,1500.00,,,
14,พัดลมดูดอากาศ (ฝังฝ้า/ติดผนัง),,ชุด,800.00,300.00,,,
14,อ่างล้างจาน (Sink สแตนเลส 1 หลุมพร้อมที่พัก),,ชุด,1800.00,500.00,,,
14,ก๊อกน้ำซิงค์ล้างจาน,,ชุด,850.00,150.00,,,
14,ตู้จดหมายและกริ่งหน้าบ้าน,,ชุด,1200.00,300.00,,,
15,--- หมวดเบ็ดเตล็ดและค่าดำเนินการ (หมวด 15) ---,,,,,,,
15,ค่าตั้งแคมป์คนงานและน้ำ-ไฟชั่วคราว,,เหมา,10000.00,0.00,,,
15,ค่าเก็บขยะและทำความสะอาดก่อนส่งมอบ,,เหมา,0.00,5000.00,,,
15,ค่าดำเนินการและกำไรผู้รับเหมา (Overhead & Profit 10%),,เหมา,0.00,0.00,=(ผลรวมวัสดุ+แรง)*10%,,
