หมวด,รายการวัสดุ / ค่าแรง,% เผื่อสูญเสีย,ปริมาณ (ตามแบบ),ปริมาณ (รวมเผื่อ),หน่วย,ค่าวัสดุ/หน่วย,ค่าแรง/หน่วย,รวมค่าวัสดุ,รวมค่าแรง,รวมเป็นเงิน
1, เหล็กเส้น DB 20 mm. (ข้ออ้อย SD40),10%,,"=IF(ISNUMBER(D27), D27*(1+C27), 0)",กก.,25.00,0.00,"=IF(ISNUMBER(E27), E27*G27, 0)","=IF(ISNUMBER(E27), E27*H27, 0)","=IF(ISNUMBER(E27), I27+J27, 0)"
1, เหล็กเส้น DB 16 mm. (ข้ออ้อย SD40),10%,,"=IF(ISNUMBER(D28), D28*(1+C28), 0)",กก.,25.00,0.00,"=IF(ISNUMBER(E28), E28*G28, 0)","=IF(ISNUMBER(E28), E28*H28, 0)","=IF(ISNUMBER(E28), I28+J28, 0)"
1, เหล็กเส้น DB 12 mm. (ข้ออ้อย SD40),10%,,"=IF(ISNUMBER(D29), D29*(1+C29), 0)",กก.,25.00,0.00,"=IF(ISNUMBER(E29), E29*G29, 0)","=IF(ISNUMBER(E29), E29*H29, 0)","=IF(ISNUMBER(E29), I29+J29, 0)"
1, เหล็กเส้น RB 9 mm. (เหล็กกลม SR24),10%,,"=IF(ISNUMBER(D30), D30*(1+C30), 0)",กก.,25.00,0.00,"=IF(ISNUMBER(E30), E30*G30, 0)","=IF(ISNUMBER(E30), E30*H30, 0)","=IF(ISNUMBER(E30), I30+J30, 0)"
1, เหล็กเส้น RB 6 mm. (เหล็กกลม SR24),10%,,"=IF(ISNUMBER(D31), D31*(1+C31), 0)",กก.,25.00,0.00,"=IF(ISNUMBER(E31), E31*G31, 0)","=IF(ISNUMBER(E31), E31*H31, 0)","=IF(ISNUMBER(E31), I31+J31, 0)"
1,ปลอก RB 9 mm. (เหล็กกลม SR24) @0.15m.,0%,,"=IF(ISNUMBER(D32), D32*(1+C32), 0)",กก.,25.00,0.00,"=IF(ISNUMBER(E32), E32*G32, 0)","=IF(ISNUMBER(E32), E32*H32, 0)","=IF(ISNUMBER(E32), I32+J32, 0)"
1,ปลอก RB 6 mm. (เหล็กกลม SR24) @0.15m.,0%,,"=IF(ISNUMBER(D33), D33*(1+C33), 0)",กก.,25.00,0.00,"=IF(ISNUMBER(E33), E33*G33, 0)","=IF(ISNUMBER(E33), E33*H33, 0)","=IF(ISNUMBER(E33), I33+J33, 0)"
1,ปลอก RB 9 mm. (เหล็กกลม SR24) @0.20m.,0%,,"=IF(ISNUMBER(D34), D34*(1+C34), 0)",กก.,25.00,0.00,"=IF(ISNUMBER(E34), E34*G34, 0)","=IF(ISNUMBER(E34), E34*H34, 0)","=IF(ISNUMBER(E34), I34+J34, 0)"
1,ปลอก RB 6 mm. (เหล็กกลม SR24) @0.20m.,0%,,"=IF(ISNUMBER(D35), D35*(1+C35), 0)",กก.,25.00,0.00,"=IF(ISNUMBER(E35), E35*G35, 0)","=IF(ISNUMBER(E35), E35*H35, 0)","=IF(ISNUMBER(E35), I35+J35, 0)"
1,ลวดผูกเหล็ก (เบอร์ 18),10%,,"=IF(ISNUMBER(D36), D36*(1+C36), 0)",กก.,55.00,0.00,"=IF(ISNUMBER(E36), E36*G36, 0)","=IF(ISNUMBER(E36), E36*H36, 0)","=IF(ISNUMBER(E36), I36+J36, 0)"
1,"ตะปู ขนาดต่างๆ (1"", 3"", 4"")",0%,,"=IF(ISNUMBER(D37), D37*(1+C37), 0)",กก.,35.00,0.00,"=IF(ISNUMBER(E37), E37*G37, 0)","=IF(ISNUMBER(E37), E37*H37, 0)","=IF(ISNUMBER(E37), I37+J37, 0)"
1,งานแผ่นพื้นสำเร็จรูป (รวมค่าแรงวาง),5%,,"=IF(ISNUMBER(D38), D38*(1+C38), 0)",ตร.ม.,310.00,180.00,"=IF(ISNUMBER(E38), E38*G38, 0)","=IF(ISNUMBER(E38), E38*H38, 0)","=IF(ISNUMBER(E38), I38+J38, 0)"
1,ตะแกรงเหล็ก Wiremesh (หนา 4 มม. @20),10%,,"=IF(ISNUMBER(D39), D39*(1+C39), 0)",ตร.ม.,65.00,0.00,"=IF(ISNUMBER(E39), E39*G39, 0)","=IF(ISNUMBER(E39), E39*H39, 0)","=IF(ISNUMBER(E39), I39+J39, 0)"
1,"วัสดุสิ้นเปลือง (ลวดเชื่อม, ใบตัด)",0%,,"=IF(ISNUMBER(D40), D40*(1+C40), 0)",ตร.ม.,0.00,45.00,"=IF(ISNUMBER(E40), E40*G40, 0)","=IF(ISNUMBER(E40), E40*H40, 0)","=IF(ISNUMBER(E40), I40+J40, 0)"
2,ค่าแรงประกอบโครงหลังคาเหล็ก (สำหรับซีแพค),5%,,"=IF(ISNUMBER(D41), D41*(1+C41), 0)",ตร.ม,0.00,450.00,"=IF(ISNUMBER(E41), E41*G41, 0)","=IF(ISNUMBER(E41), E41*H41, 0)","=IF(ISNUMBER(E41), I41+J41, 0)"
2,ค่าแรงมุงกระเบื้องซีแพค (แบบลอน),5%,,"=IF(ISNUMBER(D42), D42*(1+C42), 0)",ตร.ม,0.00,150.00,"=IF(ISNUMBER(E42), E42*G42, 0)","=IF(ISNUMBER(E42), E42*H42, 0)","=IF(ISNUMBER(E42), I42+J42, 0)"
2,ค่าแรงมุงกระเบื้องซีแพค (แบบเรียบ),5%,,"=IF(ISNUMBER(D43), D43*(1+C43), 0)",ตร.ม,0.00,185.00,"=IF(ISNUMBER(E43), E43*G43, 0)","=IF(ISNUMBER(E43), E43*H43, 0)","=IF(ISNUMBER(E43), I43+J43, 0)"
2,ค่าแรงประกอบโครงเหล็ก + มุงเมทัลชีท (เบ็ดเสร็จ),0%,,"=IF(ISNUMBER(D44), D44*(1+C44), 0)",ตร.ม,0.00,350.00,"=IF(ISNUMBER(E44), E44*G44, 0)","=IF(ISNUMBER(E44), E44*H44, 0)","=IF(ISNUMBER(E44), I44+J44, 0)"
2,เหล็กกล่อง 100x100x1.6 มม.4.90กก.(เสาโครงสร้างเบา / เพิงพัก),0%,,"=IF(ISNUMBER(D45), D45*(1+C45), 0)",ท่อน,650.00,0.00,"=IF(ISNUMBER(E45), E45*G45, 0)","=IF(ISNUMBER(E45), E45*H45, 0)","=IF(ISNUMBER(E45), I45+J45, 0)"
2,เหล็กกล่อง 100x100x2.3 มม.6.94กก.(เสาโครงสร้างมาตรฐาน),0%,,"=IF(ISNUMBER(D46), D46*(1+C46), 0)",ท่อน,880.00,0.00,"=IF(ISNUMBER(E46), E46*G46, 0)","=IF(ISNUMBER(E46), E46*H46, 0)","=IF(ISNUMBER(E46), I46+J46, 0)"
2,เหล็กกล่อง 100x100x3.2 มม.9.53กก.เสาโครงสร้างหนัก / รับน้ำหนักมาก),0%,,"=IF(ISNUMBER(D47), D47*(1+C47), 0)",ท่อน,1250.00,0.00,"=IF(ISNUMBER(E47), E47*G47, 0)","=IF(ISNUMBER(E47), E47*H47, 0)","=IF(ISNUMBER(E47), I47+J47, 0)"
2,เหล็กกล่อง 100x50x1.6 มม.3.55กก.(เอ็นทับหลัง / โครงตกแต่ง),0%,,"=IF(ISNUMBER(D48), D48*(1+C48), 0)",ท่อน,490.00,0.00,"=IF(ISNUMBER(E48), E48*G48, 0)","=IF(ISNUMBER(E48), E48*H48, 0)","=IF(ISNUMBER(E48), I48+J48, 0)"
2,เหล็กกล่อง 100x50x2.0มม.4.41กก.(คานรอง / โครงสร้างทั่วไป),0%,,"=IF(ISNUMBER(D49), D49*(1+C49), 0)",ท่อน,590.00,0.00,"=IF(ISNUMBER(E49), E49*G49, 0)","=IF(ISNUMBER(E49), E49*H49, 0)","=IF(ISNUMBER(E49), I49+J49, 0)"
2,"เหล็กC 150x50x20x2.3 มม.4.96กก.(อเส, อกไก่)",0%,,"=IF(ISNUMBER(D50), D50*(1+C50), 0)",ท่อน,720.00,0.00,"=IF(ISNUMBER(E50), E50*G50, 0)","=IF(ISNUMBER(E50), E50*H50, 0)","=IF(ISNUMBER(E50), I50+J50, 0)"
2,"เหล็กC 150x50x20x3.2 มม.6.76กก.(อเส, อกไก่)",0%,,"=IF(ISNUMBER(D51), D51*(1+C51), 0)",ท่อน,980.00,0.00,"=IF(ISNUMBER(E51), E51*G51, 0)","=IF(ISNUMBER(E51), E51*H51, 0)","=IF(ISNUMBER(E51), I51+J51, 0)"
2,"เหล็กC 125x50x20x2.3 มม.4.51กก.(อเส, ดั้ง)",0%,,"=IF(ISNUMBER(D52), D52*(1+C52), 0)",ท่อน,650.00,0.00,"=IF(ISNUMBER(E52), E52*G52, 0)","=IF(ISNUMBER(E52), E52*H52, 0)","=IF(ISNUMBER(E52), I52+J52, 0)"
2,"เหล็กC 125x50x20x3.2 มม.6.13กก.(อเส, ดั้ง)",0%,,"=IF(ISNUMBER(D53), D53*(1+C53), 0)",ท่อน,890.00,0.00,"=IF(ISNUMBER(E53), E53*G53, 0)","=IF(ISNUMBER(E53), E53*H53, 0)","=IF(ISNUMBER(E53), I53+J53, 0)"
2,เหล็กC 100x50x20x1.6มม.2.88กก.(จันทัน),0%,,"=IF(ISNUMBER(D54), D54*(1+C54), 0)",ท่อน,420.00,0.00,"=IF(ISNUMBER(E54), E54*G54, 0)","=IF(ISNUMBER(E54), E54*H54, 0)","=IF(ISNUMBER(E54), I54+J54, 0)"
2,"เหล็กC 100x50x20x2.3มม.4.06กก.(อเส, ดั้ง, อกไก่)",0%,,"=IF(ISNUMBER(D55), D55*(1+C55), 0)",ท่อน,590.00,0.00,"=IF(ISNUMBER(E55), E55*G55, 0)","=IF(ISNUMBER(E55), E55*H55, 0)","=IF(ISNUMBER(E55), I55+J55, 0)"
2,"เหล็กC 100x50x20x3.2มม.5.50กก.(อเส, ดั้ง, อกไก่)",0%,,"=IF(ISNUMBER(D56), D56*(1+C56), 0)",ท่อน,790.00,0.00,"=IF(ISNUMBER(E56), E56*G56, 0)","=IF(ISNUMBER(E56), E56*H56, 0)","=IF(ISNUMBER(E56), I56+J56, 0)"
2,เหล็กC 100x50x20x1.6มม.2.88กก.(แป),0%,,"=IF(ISNUMBER(D57), D57*(1+C57), 0)",ท่อน,420.00,0.00,"=IF(ISNUMBER(E57), E57*G57, 0)","=IF(ISNUMBER(E57), E57*H57, 0)","=IF(ISNUMBER(E57), I57+J57, 0)"
2,"เหล็กC 100x50x20x2.3มม.4.06กก.(จันทัน, สะพานเหล็ก)",0%,,"=IF(ISNUMBER(D58), D58*(1+C58), 0)",ท่อน,590.00,0.00,"=IF(ISNUMBER(E58), E58*G58, 0)","=IF(ISNUMBER(E58), E58*H58, 0)","=IF(ISNUMBER(E58), I58+J58, 0)"
2,เหล็กC 100x50x20x1.6มม.2.88กก.(จันทัน),0%,,"=IF(ISNUMBER(D59), D59*(1+C59), 0)",ท่อน,420.00,0.00,"=IF(ISNUMBER(E59), E59*G59, 0)","=IF(ISNUMBER(E59), E59*H59, 0)","=IF(ISNUMBER(E59), I59+J59, 0)"
2,"เหล็กC 100x50x20x2.3มม.4.06กก.(จันทัน, สะพานเหล็ก)",0%,,"=IF(ISNUMBER(D60), D60*(1+C60), 0)",ท่อน,590.00,0.00,"=IF(ISNUMBER(E60), E60*G60, 0)","=IF(ISNUMBER(E60), E60*H60, 0)","=IF(ISNUMBER(E60), I60+J60, 0)"
